Name,Sex,Birth Date,Strain,Genotype,Generation,Parent Mating ID,Dam(s),Location,Tag,Cells,Housing ID,Group,Tag
A-25-CD2-015,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",F-4,Black,CD26,H-CD2F1-05,CT-26 Uniform 3:0,S4
A-25-CD2-016,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",E-5,Brown,CD26,H-CD2F1-06,CT-26 Uniform 3:0,S2
A-25-CD2-017,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",E-5,Red,CD26,H-CD2F1-06,CT-26 Uniform 3:0,S3
A-25-CD2-018,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",E-5,Black,CD26,H-CD2F1-06,CT-26 Uniform 3:0,S4
A-25-CD2-019,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-03,"A-25-BALBCJ-005, A-25-BALBCJ-006",G-5,Black,CD26,H-CD2F1-07,CT-26 Uniform 3:0,S4
A-25-CD2-020,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",G-5,Red,CD26,H-CD2F1-07,CT-26 Uniform 3:0,S3
A-25-CD2-021,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",G-5,Brown,CD26,H-CD2F1-07,CT-26 Uniform 3:0,S2
A-25-CD2-022,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",F-6,Brown,CD26,H-CD2F1-08,CT-26 Uniform 3:0,S2
A-25-CD2-023,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",F-6,Red,CD26,H-CD2F1-08,CT-26 Uniform 3:0,S3
A-25-CD2-024,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",F-6,Black,CD26,H-CD2F1-08,CT-26 Uniform 3:0,S4
A-25-CD2-025,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-3,Brown,CD26,H-CD2F1-09,CT-26 Mixed 2:1,S2
A-25-CD2-026,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-3,Red,CD26,H-CD2F1-09,CT-26 Mixed 2:1,S3
A-25-CD2-027,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-3,Black,Vehicle,H-CD2F1-09,CT-26 Mixed 2:1,S4
A-25-CD2-028,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",C-4,Brown,CD26,H-CD2F1-10,CT-26 Mixed 2:1,S2
A-25-CD2-029,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",C-4,Red,CD26,H-CD2F1-10,CT-26 Mixed 2:1,S3
A-25-CD2-030,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",C-4,Black,Vehicle,H-CD2F1-10,CT-26 Mixed 2:1,S4
A-25-CD2-031,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-08,"A-25-BALBCJ-015, A-25-BALBCJ-016",D-5,Brown,CD26,H-CD2F1-11,CT-26 Mixed 2:1,S2
A-25-CD2-032,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-08,"A-25-BALBCJ-015, A-25-BALBCJ-016",D-5,Red,CD26,H-CD2F1-11,CT-26 Mixed 2:1,S3
A-25-CD2-033,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-08,"A-25-BALBCJ-015, A-25-BALBCJ-016",D-5,Black,Vehicle,H-CD2F1-11,CT-26 Mixed 2:1,S4
A-25-CD2-034,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-10,"A-25-BALBCJ-019, A-25-BALBCJ-020",E-6,Brown,CD26,H-CD2F1-12,CT-26 Mixed 2:1,S2
A-25-CD2-035,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-10,"A-25-BALBCJ-019, A-25-BALBCJ-020",E-6,Red,CD26,H-CD2F1-12,CT-26 Mixed 2:1,S3
A-25-CD2-036,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-10,"A-25-BALBCJ-019, A-25-BALBCJ-020",E-6,Black,Vehicle,H-CD2F1-12,CT-26 Mixed 2:1,S4
A-25-CD2-037,Male,8/23/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-04,"A-25-BALBCJ-007, A-25-BALBCJ-008",D-3,Brown,CD26,H-CD2F1-13,CT-26 Uniform 2:0,S2
A-25-CD2-038,Male,8/23/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-04,"A-25-BALBCJ-007, A-25-BALBCJ-008",D-3,Red,CD26,H-CD2F1-13,CT-26 Uniform 2:0,S3
A-25-CD2-039,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-10,"A-25-BALBCJ-019, A-25-BALBCJ-020",A-5,Brown,CD26,H-CD2F1-14,CT-26 Uniform 2:0,S2
A-25-CD2-040,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-10,"A-25-BALBCJ-019, A-25-BALBCJ-020",A-5,Red,CD26,H-CD2F1-14,CT-26 Uniform 2:0,S3
A-25-CD2-041,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",A-3,Brown,CD26,H-CD2F1-15,CT-26 Mixed 1:2,S2
A-25-CD2-042,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",A-3,Red,Vehicle,H-CD2F1-15,CT-26 Mixed 1:2,S3
A-25-CD2-043,Male,8/22/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-09,"A-25-BALBCJ-017, A-25-BALBCJ-018",A-3,Black,Vehicle,H-CD2F1-15,CT-26 Mixed 1:2,S4
A-25-CD2-044,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",F-3,Brown,CD26,H-CD2F1-16,CT-26 Mixed 1:2,S2
A-25-CD2-045,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",F-3,Red,Vehicle,H-CD2F1-16,CT-26 Mixed 1:2,S3
A-25-CD2-046,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-07,"A-25-BALBCJ-013, A-25-BALBCJ-014",F-3,Black,Vehicle,H-CD2F1-16,CT-26 Mixed 1:2,S4
A-25-CD2-047,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",B-4,Brown,CD26,H-CD2F1-17,CT-26 Mixed 1:2,S2
A-25-CD2-048,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",B-4,Red,Vehicle,H-CD2F1-17,CT-26 Mixed 1:2,S3
A-25-CD2-049,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-06,"A-25-BALBCJ-011, A-25-BALBCJ-012",B-4,Black,Vehicle,H-CD2F1-17,CT-26 Mixed 1:2,S4
A-25-CD2-050,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",C-5,Brown,CD26,H-CD2F1-18,CT-26 Mixed 1:2,S2
A-25-CD2-051,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",C-5,Red,Vehicle,H-CD2F1-18,CT-26 Mixed 1:2,S3
A-25-CD2-052,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-05,"A-25-BALBCJ-009, A-25-BALBCJ-010",C-5,Black,Vehicle,H-CD2F1-18,CT-26 Mixed 1:2,S4
A-25-CD2-053,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-04,"A-25-BALBCJ-007, A-25-BALBCJ-008",A-4,Brown,Vehicle,H-CD2F1-19,Vehicle Uniform 3:0,S2
A-25-CD2-054,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-04,"A-25-BALBCJ-007, A-25-BALBCJ-008",A-4,Red,Vehicle,H-CD2F1-19,Vehicle Uniform 3:0,S3
A-25-CD2-055,Male,8/19/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-04,"A-25-BALBCJ-007, A-25-BALBCJ-008",A-4,Black,Vehicle,H-CD2F1-19,Vehicle Uniform 3:0,S4
A-25-CD2-056,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-5,Brown,Vehicle,H-CD2F1-20,Vehicle Uniform 3:0,S2
A-25-CD2-057,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-5,Red,Vehicle,H-CD2F1-20,Vehicle Uniform 3:0,S3
A-25-CD2-058,Male,8/20/2025,CD2F1,BALB/cJ x DBA/2J,F1 Cross,M-CD2-25-02,"A-25-BALBCJ-003, A-25-BALBCJ-004",B-5,Black,Vehicle,H-CD2F1-20,Vehicle Uniform 3:0,S4
